type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,30:DE:4B:35:DA:4A,-28,11,1,0,1,0,1,0,0,0,0,-96,0,4,1,18406534,0,118,0,0,18.7991,384,[118 -32 6 0 0 0 0 0 0 0 0 0 -10 -5 -12 -6 -12 -8 -13 -9 -12 -10 -11 -10 -10 -9 -9 -9 -7 -7 -5 -6 -4 -4 -1 -1 0 1 1 4 3 6 3 9 4 11 5 13 5 14 5 15 4 16 4 15 3 14 2 13 2 10 1 7 0 0 1 1 1 -3 1 -7 1 -10 2 -13 3 -16 3 -18 3 -19 3 -21 3 -21 4 -20 4 -18 3 -17 2 -14 1 -11 -1 -7 -3 -3 -4 1 -7 5 -9 8 -12 11 -13 14 -15 16 -17 18 -17 18 -18 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,30:DE:4B:35:DA:4A,-28,11,1,0,1,0,1,1,0,0,0,-96,1,4,1,27419431,0,118,0,0,27.8118,384,[118 -32 6 0 0 0 0 0 0 0 0 0 8 5 9 6 10 8 11 9 11 9 10 9 9 9 8 8 6 7 5 5 2 3 0 1 -2 -1 -4 -4 -6 -6 -7 -9 -9 -10 -9 -12 -11 -13 -10 -14 -10 -14 -9 -14 -8 -13 -7 -12 -6 -10 -4 -7 0 0 -1 -1 1 2 3 5 4 9 5 11 7 14 8 16 8 17 9 18 9 17 8 18 7 16 6 14 6 11 4 7 3 4 2 -1 0 -5 -2 -9 -3 -13 -5 -17 -6 -20 -7 -22 -8 -24 -8 -24 -9 -25 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,30:DE:4B:35:DA:4A,-28,11,1,0,1,0,1,0,0,0,0,-96,0,4,1,31025380,0,118,0,0,31.4177,384,[118 -32 6 0 0 0 0 0 0 0 0 0 -1 10 -2 12 -3 14 -4 15 -4 14 -4 14 -5 13 -5 11 -4 9 -4 6 -3 4 -1 1 0 -2 2 -4 4 -7 7 -9 8 -11 9 -12 12 -12 12 -12 12 -12 12 -11 11 -10 10 -9 9 -7 6 -6 0 0 -1 -2 -4 0 -7 1 -10 3 -13 4 -17 5 -18 6 -19 6 -20 6 -20 7 -20 6 -18 6 -16 5 -13 4 -9 4 -6 3 -1 2 4 2 8 2 12 1 16 2 19 3 22 2 24 2 24 2 25 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,30:DE:4B:35:DA:4A,-29,11,1,0,1,0,1,0,0,0,0,-96,0,4,1,39679062,0,118,0,0,40.0714,384,[118 -32 6 0 0 0 0 0 0 0 0 0 -1 -10 0 -13 0 -14 1 -15 1 -15 2 -14 2 -13 2 -12 2 -10 2 -8 1 -5 0 -2 -1 1 -3 3 -4 6 -6 9 -7 11 -8 11 -9 12 -10 13 -10 13 -10 12 -9 11 -9 9 -8 7 -5 5 0 0 -1 0 2 -1 5 -4 7 -6 10 -7 12 -9 14 -10 15 -11 16 -11 15 -11 16 -11 14 -10 12 -9 10 -8 6 -6 3 -4 -1 -3 -4 -2 -9 0 -13 1 -16 2 -20 3 -21 3 -24 4 -24 4 -24 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,30:DE:4B:35:DA:4A,-35,11,1,0,1,0,1,1,0,0,0,-96,1,4,1,43186923,0,118,0,0,43.5793,384,[118 -32 6 0 0 0 0 0 0 0 0 0 -7 7 -9 9 -11 9 -12 9 -12 9 -12 8 -11 7 -10 5 -9 4 -7 3 -4 2 -2 0 2 -1 4 -1 7 -2 10 -2 12 -3 14 -2 15 -2 16 -2 16 -1 16 0 13 0 12 0 10 0 7 0 0 0 0 -2 -3 -3 -7 -3 -10 -5 -13 -6 -15 -8 -17 -9 -18 -9 -18 -10 -18 -9 -18 -10 -16 -9 -15 -7 -12 -6 -9 -4 -6 -1 -3 2 0 5 3 8 6 11 8 14 10 17 12 19 13 20 12 21 13 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,30:DE:4B:35:DA:4A,-29,11,1,0,1,0,1,0,0,0,0,-96,0,4,1,47985380,0,118,0,0,48.3777,384,[118 -32 6 0 0 0 0 0 0 0 0 0 8 -5 10 -5 12 -5 14 -5 14 -4 13 -3 13 -3 11 -2 9 -2 7 -1 4 -1 1 0 -2 -1 -5 -1 -8 -2 -11 -3 -13 -3 -14 -4 -15 -5 -16 -6 -16 -6 -15 -6 -14 -6 -12 -6 -10 -6 -8 -4 0 0 -2 0 0 2 4 5 6 7 8 8 10 10 12 13 12 13 13 15 13 14 13 15 11 13 10 12 9 9 7 6 5 4 3 -1 2 -5 0 -8 -2 -12 -4 -16 -4 -20 -5 -22 -6 -24 -5 -25 -6 -25 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,30:DE:4B:35:DA:4A,-28,11,1,0,1,0,1,0,0,0,0,-96,0,4,1,52096673,0,118,0,0,52.489,384,[118 -32 6 0 0 0 0 0 0 0 0 0 -4 -10 -3 -13 -3 -14 -3 -16 -2 -15 -2 -15 -1 -14 -1 -12 0 -10 0 -8 0 -5 0 -2 0 1 0 4 0 8 -1 11 -1 13 -1 14 -2 16 -2 16 -3 16 -3 16 -2 14 -3 13 -2 10 -1 7 0 0 -1 0 0 -3 1 -7 2 -11 3 -13 4 -16 5 -18 4 -20 4 -21 4 -21 4 -20 4 -18 3 -16 2 -13 1 -9 -1 -6 -2 -1 -4 3 -5 7 -6 11 -8 15 -9 18 -9 20 -9 23 -10 23 -9 23 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,30:DE:4B:35:DA:4A,-28,11,1,0,1,0,1,1,0,0,0,-96,1,4,1,58961220,0,118,0,0,59.3536,384,[118 -32 6 0 0 0 0 0 0 0 0 0 5 8 6 10 6 12 6 13 5 13 5 13 4 12 3 10 2 8 1 7 0 4 0 1 0 -2 -1 -5 0 -8 0 -11 1 -13 1 -14 2 -16 3 -16 4 -17 4 -16 4 -14 3 -13 3 -11 2 -8 0 0 -1 -1 -3 2 -5 5 -7 7 -10 9 -11 11 -13 13 -14 13 -14 14 -14 14 -15 14 -13 12 -12 11 -9 9 -6 7 -3 5 1 3 5 0 8 -1 12 -3 16 -4 19 -5 22 -5 24 -6 24 -6 24 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,30:DE:4B:35:DA:4A,-28,11,1,0,1,0,1,1,0,0,0,-96,1,4,1,62219850,0,118,0,0,62.6122,384,[118 -32 6 0 0 0 0 0 0 0 0 0 5 8 6 10 5 12 5 13 5 14 4 13 3 13 2 10 1 9 1 7 0 4 0 1 0 -2 0 -5 -1 -8 0 -11 0 -13 0 -15 1 -16 2 -17 2 -17 3 -17 2 -15 2 -14 2 -12 1 -8 0 0 -1 -2 -3 1 -3 5 -5 8 -8 11 -9 13 -11 15 -11 16 -11 17 -11 18 -12 17 -11 15 -10 14 -8 12 -5 9 -2 6 1 3 4 -1 7 -4 10 -6 14 -9 16 -11 19 -12 20 -14 21 -14 22 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,30:DE:4B:35:DA:4A,-28,11,1,0,1,0,1,0,0,0,0,-96,0,4,1,65476093,0,118,0,0,65.8684,384,[118 -32 6 0 0 0 0 0 0 0 0 0 -4 -10 -5 -12 -4 -14 -3 -16 -3 -15 -2 -15 -1 -14 -1 -12 0 -10 0 -8 0 -5 0 -2 -1 1 -2 4 -3 7 -4 10 -5 12 -6 13 -8 14 -8 14 -9 14 -9 13 -8 11 -7 10 -7 8 -5 6 0 0 0 1 3 -1 6 -4 8 -6 11 -7 13 -9 15 -10 16 -11 17 -11 16 -11 17 -11 15 -10 13 -9 10 -8 7 -6 3 -5 -1 -4 -5 -3 -9 -2 -13 -1 -17 -1 -20 -1 -23 0 -25 0 -25 0 -26 0 0 0 0 0 0 0 0 0 0 0 ]
