type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,E4:D1:24:F2:5E:80,-84,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,9420,0,401,0,0,0.391726,128,[-111 17 25 0 19 -34 19 -40 17 -34 15 -36 10 -33 9 -35 4 -29 11 -28 10 -18 4 -14 3 -12 6 -2 9 -4 12 3 10 8 13 12 17 13 20 10 15 15 18 12 15 10 8 10 9 10 5 7 4 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 19 8 19 7 19 6 17 1 14 4 18 2 10 -3 2 0 0 -6 -8 -17 -7 -10 -8 -19 -7 -28 -10 -22 -15 -31 -16 -36 -11 -34 -11 -33 -10 -31 -8 -31 -7 -24 -10 -12 -6 -4 -10 -2 -11 10 -22 ]
CSI_DATA,STA,E4:D1:24:F2:5E:80,-85,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,23314,0,389,0,0,0.450009,128,[-123 81 24 0 -20 36 -20 38 -13 37 -14 36 -17 36 -10 38 -7 28 -6 23 -9 19 0 13 -7 12 -10 -1 -11 -2 -12 -10 -16 -10 -21 -10 -16 -12 -20 -16 -15 -16 -16 -16 -15 -14 -12 -11 -11 -11 -12 -8 -8 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -20 -6 -18 -4 -18 -6 -17 -2 -22 -4 -15 -1 -10 1 -2 4 -5 9 -1 12 5 13 8 14 9 23 10 26 8 29 14 30 12 33 10 31 8 29 5 27 0 22 4 19 10 9 6 1 11 -4 20 ]
CSI_DATA,STA,E4:D1:24:F2:5E:80,-85,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,123417,0,30,0,0,0.50522,128,[30 -32 1 0 35 12 36 11 38 9 40 9 38 11 36 7 26 3 21 1 16 -1 10 3 10 7 4 5 -7 7 -7 11 -9 10 -5 15 -14 10 -16 12 -18 17 -14 15 -13 13 -14 8 -10 10 -11 8 -6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 15 -15 13 -10 12 -10 11 -6 8 -7 9 -2 4 -3 -5 0 -4 0 -10 3 -11 -1 -21 0 -21 0 -22 -4 -30 -1 -33 0 -28 -4 -30 -3 -31 1 -29 -7 -27 -1 -19 7 -15 4 -8 14 -1 16 3 ]
CSI_DATA,STA,E4:D1:24:F2:5E:80,-85,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,125717,0,389,0,0,0.544183,128,[-123 81 24 0 -4 -36 -9 -39 2 -34 -6 -41 -8 -38 -11 -35 -11 -25 -5 -25 -4 -14 -4 -15 0 -12 6 -6 6 0 10 -2 13 3 21 -1 18 2 15 8 22 4 18 6 15 8 16 9 8 5 8 8 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 6 16 9 16 5 12 4 7 6 5 4 4 6 1 7 -8 -2 -11 5 -10 0 -16 1 -19 -1 -23 8 -24 8 -37 3 -32 11 -35 9 -26 13 -20 10 -18 6 -17 2 -10 -3 -9 -4 -4 -11 -4 -19 ]
CSI_DATA,STA,E4:D1:24:F2:5E:80,-85,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,224891,0,401,0,0,0.606817,128,[-111 17 25 0 19 -28 16 -38 16 -37 12 -35 12 -31 11 -27 7 -24 0 -25 5 -19 -1 -19 6 -10 7 -1 8 1 8 9 12 8 16 4 17 11 14 11 14 8 16 6 17 8 14 4 12 4 7 6 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 16 -2 20 -3 20 -6 20 -4 15 -5 8 -3 4 -3 6 -4 1 -8 -2 -6 -8 -9 -13 -14 -18 -16 -18 -20 -21 -25 -20 -28 -16 -29 -17 -25 -12 -22 -15 -23 -10 -19 -9 -17 -12 -9 -12 1 -17 7 -19 ]
CSI_DATA,STA,E4:D1:24:F2:5E:80,-85,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,228119,0,389,0,0,0.641049,128,[-123 81 24 0 29 -12 33 -15 37 -19 38 -17 29 -14 27 -17 25 -19 20 -15 17 -8 8 -10 3 -5 11 3 6 10 5 9 6 11 9 12 7 19 5 15 6 14 3 16 6 16 1 16 3 18 2 12 3 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 17 -15 17 -14 9 -15 14 -14 12 -7 6 -10 7 -6 2 -8 -4 -5 -10 -2 -15 -5 -20 -2 -22 1 -24 -7 -29 -15 -25 -11 -30 -14 -23 -13 -26 -19 -22 -13 -23 -12 -16 -6 -13 0 -12 8 -9 15 -15 ]
CSI_DATA,STA,E4:D1:24:F2:5E:80,-85,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,330522,0,389,0,0,0.711958,128,[-123 81 24 0 -28 -16 -39 -6 -41 -13 -39 -6 -38 -7 -36 -7 -31 -8 -28 3 -18 -2 -12 -4 -8 -3 -5 -9 3 -11 5 -15 5 -11 6 -14 9 -15 12 -16 11 -16 13 -12 11 -16 11 -12 8 -12 8 -6 10 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -18 10 -14 12 -10 8 -11 11 -12 10 -6 10 -7 8 -2 0 1 -3 2 -3 16 -3 16 -9 19 -3 21 -9 27 -2 32 1 30 0 31 2 28 6 26 4 26 3 19 4 15 -12 13 -8 6 -16 -1 ]
CSI_DATA,STA,E4:D1:24:F2:5E:80,-85,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,2658795,0,401,0,0,3.04093,128,[-111 17 25 0 13 33 14 32 18 33 19 32 18 36 19 32 21 26 21 24 14 16 10 18 2 10 4 12 2 7 -6 3 -10 0 -18 -2 -15 -6 -21 -3 -16 -8 -18 -9 -16 -11 -20 -10 -15 -11 -11 -10 -5 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 12 -10 10 -15 14 -10 8 -6 12 -9 8 -4 8 1 -2 -7 2 2 -5 4 -8 7 -16 7 -22 14 -18 18 -26 11 -28 11 -34 9 -31 13 -30 5 -31 6 -24 3 -22 4 -12 4 -6 5 1 4 12 ]
CSI_DATA,STA,E4:D1:24:F2:5E:80,-84,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,2659583,0,401,0,0,3.07479,128,[-111 17 25 0 6 -26 8 -35 12 -38 6 -36 5 -28 9 -22 3 -33 2 -25 -1 -12 2 -17 3 -15 3 -6 -1 -5 1 1 2 10 4 11 2 12 4 17 5 16 9 14 6 14 -4 19 -2 12 -3 11 -2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -12 18 -8 13 -8 18 -5 10 -4 8 -4 17 -1 1 2 -3 -4 -6 10 -9 14 -8 10 -18 11 -18 13 -18 10 -16 15 -23 17 -22 20 -21 16 -23 19 -23 14 -14 17 -7 11 -11 6 6 -5 3 -12 ]
CSI_DATA,STA,E4:D1:24:F2:5E:80,-85,10,0,0,0,0,0,0,0,0,0,-96,0,9,0,2685780,0,389,0,0,3.11474,128,[-123 81 24 0 -11 33 -6 35 -10 39 -4 35 -6 40 -3 36 -3 30 -8 30 -6 24 -5 16 -7 12 -5 7 -2 2 -6 -2 -8 -7 -10 -9 -8 -15 -8 -19 -7 -17 -10 -16 -7 -16 -4 -18 -2 -15 -2 -15 0 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 5 -16 5 -18 5 -18 1 -16 3 -11 2 -9 0 -7 2 2 -1 4 -6 11 -7 14 -11 18 -12 22 -7 24 -11 28 -13 29 -21 29 -18 24 -21 20 -16 22 -20 17 -14 12 -13 10 -1 0 2 -6 19 ]
