type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,B0:A7:B9:09:53:8D,-63,11,1,5,0,1,1,0,1,0,0,-97,0,4,0,8944256,0,100,0,0,9.33725,384,[100 -64 5 0 29 -1 23 -2 17 -3 9 -4 2 -7 -7 -9 -13 -12 -20 -15 -27 -19 -30 -22 -34 -26 -35 -28 -36 -29 -34 -30 -31 -28 -27 -26 -22 -23 -18 -17 -13 -11 -11 -4 -8 3 -6 10 -5 17 -5 23 -7 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -8 -2 -5 -3 -1 -5 3 -7 6 -9 9 -12 13 -15 14 -17 16 -18 15 -20 14 -20 13 -18 10 -15 8 -12 6 -7 3 -2 0 4 -1 11 -3 17 -5 23 -6 28 -7 33 -6 38 -6 39 -5 40 -5 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-62,11,1,5,0,1,1,1,1,0,0,-97,1,4,0,9790816,0,90,0,0,10.1838,384,[90 32 5 0 28 -3 34 -2 37 -3 38 -3 38 -2 36 -3 33 -4 29 -3 23 -5 17 -5 9 -5 1 -5 -7 -6 -14 -6 -22 -7 -27 -7 -32 -8 -35 -9 -37 -9 -38 -8 -37 -8 -35 -7 -32 -6 -27 -4 -21 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 -5 20 -4 21 -4 20 -3 19 -2 17 -1 13 0 10 1 5 3 0 3 -6 4 -12 4 -16 4 -21 3 -25 3 -27 2 -30 2 -30 1 -28 1 -26 0 -22 0 -17 -1 -11 -2 -5 -2 3 -3 10 -4 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-61,11,1,5,0,1,1,1,1,0,0,-97,1,4,0,23326955,0,100,0,0,23.7199,384,[100 -64 5 0 -22 -9 -27 -11 -30 -12 -33 -13 -35 -13 -34 -13 -33 -12 -30 -10 -27 -9 -22 -7 -16 -4 -9 -3 -2 0 6 2 13 3 19 6 24 6 29 8 31 9 33 10 34 10 33 10 30 9 26 8 20 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 -13 -14 -14 -15 -16 -14 -16 -14 -15 -12 -14 -10 -12 -8 -10 -4 -7 0 -4 3 0 7 3 11 7 14 10 17 12 19 14 21 16 23 16 23 15 21 14 20 12 17 10 13 8 8 6 1 3 -5 1 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-62,11,1,5,0,1,1,1,1,0,0,-97,1,4,0,23944539,0,100,0,0,24.3375,384,[100 -64 5 0 -4 -29 -4 -22 -4 -14 -5 -7 -5 1 -5 9 -6 17 -6 24 -7 30 -8 36 -8 40 -9 42 -10 42 -9 42 -9 38 -8 34 -8 29 -6 22 -2 15 1 9 5 1 9 -5 14 -11 18 -15 22 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -4 0 -2 4 1 6 4 8 8 10 11 11 14 12 16 13 20 12 21 10 21 9 20 7 18 5 14 3 10 0 5 -2 -1 -4 -8 -6 -14 -7 -20 -8 -26 -9 -32 -8 -35 -9 -39 -8 -40 -7 -39 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-62,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,27945556,0,100,0,0,28.3385,384,[100 -64 5 0 -24 2 -29 2 -33 2 -36 2 -38 2 -38 2 -37 2 -35 2 -31 2 -26 2 -20 2 -13 2 -6 3 2 4 9 5 16 7 20 9 25 11 28 13 30 14 32 16 31 16 28 16 25 15 20 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 11 -12 12 -13 12 -13 12 -14 12 -13 11 -11 10 -9 7 -6 5 -3 2 1 -2 6 -4 9 -6 15 -9 19 -9 22 -11 24 -12 25 -13 25 -13 25 -12 23 -10 20 -10 16 -7 10 -6 4 -4 -3 -2 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-62,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,29970596,0,100,0,0,30.3636,384,[100 -64 5 0 -24 -7 -28 -8 -32 -8 -34 -9 -36 -8 -36 -7 -34 -5 -32 -4 -27 -3 -23 -1 -17 -1 -11 -1 -3 -1 4 -1 12 -3 17 -4 23 -4 28 -5 31 -7 34 -7 34 -8 33 -8 31 -7 27 -6 22 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -15 -6 -17 -6 -20 -7 -19 -5 -20 -4 -19 -4 -16 -2 -13 1 -10 3 -6 5 -2 8 3 10 8 13 12 15 15 18 16 19 18 20 19 19 18 18 17 16 16 14 12 10 10 5 6 1 4 -6 1 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-60,11,1,5,0,1,1,1,1,0,0,-97,1,4,0,30944693,0,100,0,0,31.3376,384,[100 -64 5 0 -11 26 -12 31 -14 34 -14 37 -13 39 -12 38 -10 37 -9 33 -6 29 -5 23 -4 17 -3 9 -3 1 -2 -7 -2 -15 -3 -22 -3 -28 -4 -33 -5 -37 -6 -39 -6 -39 -7 -39 -7 -36 -6 -32 -5 -26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -2 -19 -2 -20 -3 -20 -2 -19 -2 -18 -2 -15 -1 -11 -3 -8 -4 -4 -5 1 -7 6 -9 11 -11 15 -13 19 -15 22 -16 23 -18 24 -19 24 -19 22 -18 20 -17 17 -14 13 -9 9 -5 5 1 0 7 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-60,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,33326964,0,100,0,0,33.7199,384,[100 -64 5 0 -23 -16 -18 -13 -11 -12 -5 -10 1 -10 9 -13 15 -16 18 -20 22 -25 24 -30 24 -34 23 -38 20 -39 17 -39 14 -37 11 -33 8 -27 6 -21 5 -13 6 -5 7 1 10 9 13 14 17 19 19 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 10 -1 9 -5 8 -9 8 -13 8 -16 8 -20 9 -22 10 -23 12 -25 12 -25 12 -25 11 -22 10 -20 7 -17 4 -15 0 -13 -5 -13 -10 -13 -15 -14 -20 -17 -24 -20 -27 -23 -29 -25 -30 -28 -29 -29 -27 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-62,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,33944773,0,100,0,0,34.3377,384,[100 -64 5 0 -25 0 -30 0 -33 1 -36 2 -36 3 -37 5 -34 7 -31 8 -27 8 -22 7 -16 5 -10 2 -5 -3 1 -8 5 -13 9 -18 11 -23 13 -26 14 -29 13 -32 12 -33 10 -32 8 -31 6 -27 5 -23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -10 12 -11 13 -12 14 -12 14 -12 14 -11 13 -9 13 -8 12 -4 11 0 10 5 10 8 9 12 9 17 9 21 9 23 10 24 10 24 11 24 10 23 10 21 7 18 6 13 1 10 -4 8 -10 5 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-60,11,1,5,0,1,1,1,1,0,0,-97,1,4,0,35327029,0,100,0,0,35.72,384,[100 -64 5 0 -7 -28 -8 -31 -9 -34 -9 -34 -10 -34 -11 -34 -11 -30 -12 -27 -11 -23 -10 -17 -7 -11 -5 -5 -2 2 0 9 4 15 7 20 9 24 10 27 12 29 13 31 13 31 13 29 13 27 11 24 10 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -17 4 -18 5 -19 5 -18 6 -17 6 -15 6 -11 6 -7 6 -2 5 3 4 8 4 13 3 18 1 22 0 24 -1 27 -1 27 -2 27 -1 26 -2 23 -2 19 -2 15 -2 10 -3 3 -3 -4 -3 -10 ]
