type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,B0:A7:B9:09:53:8D,-62,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,3553463,0,100,0,0,3.94566,384,[100 -64 5 0 -28 7 -22 5 -15 3 -8 0 -2 -4 5 -9 11 -14 16 -19 19 -24 22 -29 24 -33 24 -36 23 -38 22 -36 19 -35 16 -31 13 -26 10 -20 6 -14 3 -7 0 1 -2 9 -4 15 -6 21 -6 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -8 0 -5 2 -2 4 2 7 5 10 8 13 10 15 12 17 14 18 16 18 16 17 16 16 15 13 14 9 11 5 9 -1 7 -7 6 -13 5 -19 4 -24 4 -30 5 -34 5 -36 6 -39 7 -39 8 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-61,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,8589502,0,100,0,0,8.98151,384,[100 -64 5 0 15 -22 18 -25 19 -28 20 -30 20 -31 18 -32 16 -30 14 -28 11 -25 8 -20 5 -14 3 -8 2 0 1 8 0 15 -1 22 -1 27 -1 31 -1 34 0 36 0 35 1 34 1 31 1 27 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 7 16 9 17 8 17 9 15 9 14 8 11 8 8 7 4 6 -1 6 -6 4 -11 4 -16 4 -21 4 -24 4 -27 4 -27 5 -28 5 -27 6 -25 5 -23 5 -19 3 -14 2 -9 -1 -3 -5 3 -9 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-61,11,1,7,0,1,1,1,1,0,0,-97,1,4,0,12992750,0,100,0,0,13.3848,384,[100 -64 5 0 23 12 28 15 30 15 33 16 35 15 34 14 33 11 29 10 26 7 20 6 13 3 6 2 -2 2 -10 1 -17 0 -23 1 -29 2 -33 3 -35 3 -37 4 -37 5 -35 5 -33 6 -28 5 -22 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 16 -8 18 -8 18 -8 18 -7 18 -7 16 -7 13 -6 9 -6 6 -6 0 -6 -4 -7 -10 -6 -15 -7 -19 -7 -22 -9 -25 -10 -26 -10 -27 -11 -26 -10 -25 -9 -22 -7 -18 -4 -14 -1 -10 4 -5 8 0 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-61,11,1,6,0,1,1,0,1,0,0,-97,0,4,0,13458054,0,100,0,0,13.8499,384,[100 -64 5 0 -10 21 -12 26 -12 28 -13 31 -13 32 -11 31 -9 30 -8 27 -6 24 -4 19 -3 13 -2 6 -3 -1 -2 -8 -2 -15 -3 -21 -3 -26 -3 -30 -4 -33 -4 -34 -4 -34 -5 -33 -4 -30 -3 -26 -3 -21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -5 -21 -3 -17 -2 -16 -5 -19 -3 -15 -3 -11 -5 -10 -5 -6 -5 -1 -6 3 -7 7 -8 12 -9 16 -10 18 -11 20 -12 22 -12 21 -13 21 -13 19 -12 17 -11 13 -8 10 -6 7 -2 2 2 -1 9 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-61,11,1,7,0,1,1,1,1,0,0,-97,1,4,0,14261176,0,90,0,0,14.6532,384,[90 32 5 0 -31 -9 -25 -7 -17 -5 -9 -4 0 -4 9 -5 17 -6 24 -9 30 -12 36 -15 40 -18 42 -21 42 -22 40 -23 36 -22 32 -20 27 -18 20 -14 13 -9 6 -4 -1 1 -6 7 -12 12 -15 18 -20 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -9 4 -4 4 1 4 5 5 10 5 15 6 19 6 23 7 25 7 27 7 27 7 27 5 24 3 21 2 17 -2 12 -5 6 -10 1 -15 -5 -20 -8 -25 -11 -31 -15 -34 -16 -39 -17 -40 -17 -42 -17 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-62,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,27820353,0,100,0,0,28.2123,384,[100 -64 5 0 2 -29 1 -22 2 -16 0 -9 2 -1 3 7 6 14 9 20 12 26 14 31 18 34 20 36 22 36 22 36 21 33 19 28 16 24 12 18 8 12 3 6 -2 -1 -8 -6 -12 -11 -16 -16 -19 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -1 3 1 -1 3 -5 4 -9 7 -13 8 -16 10 -19 11 -21 13 -23 13 -23 13 -21 12 -20 11 -17 8 -14 5 -11 1 -7 -3 -3 -8 0 -13 3 -18 5 -23 6 -28 7 -32 8 -35 7 -37 6 -38 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-61,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,28439005,0,100,0,0,28.8309,384,[100 -64 5 0 -1 -27 -3 -31 -4 -34 -3 -36 -6 -37 -7 -37 -8 -34 -8 -31 -8 -27 -7 -21 -5 -15 -3 -9 1 -1 5 5 10 12 13 17 16 22 19 25 21 27 22 28 22 28 22 27 20 24 17 21 13 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -5 17 -6 18 -5 18 -5 17 -4 14 -3 12 -1 9 0 5 2 2 5 -2 7 -7 11 -9 13 -12 16 -14 18 -15 20 -15 21 -16 22 -15 22 -13 20 -12 18 -9 14 -7 10 -6 4 -4 -2 -2 -8 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-62,11,1,7,0,1,1,1,1,0,0,-97,1,4,0,32439142,0,100,0,0,32.8311,384,[100 -64 5 0 8 -27 7 -22 5 -15 4 -8 2 0 2 8 3 16 5 23 7 29 9 34 11 37 14 40 15 40 16 39 16 36 14 31 12 27 10 20 6 13 2 6 -2 -1 -7 -7 -11 -13 -15 -18 -18 -21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 2 4 -2 4 -6 3 -9 4 -14 4 -17 4 -20 5 -23 5 -24 5 -24 5 -23 5 -21 4 -18 2 -14 0 -10 -2 -6 -5 0 -9 4 -13 8 -17 11 -21 13 -26 14 -29 16 -33 15 -34 15 -35 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-61,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,35439184,0,100,0,0,35.8312,384,[100 -64 5 0 24 7 29 8 33 8 36 7 37 7 36 5 35 4 32 3 27 1 20 1 14 0 7 1 -1 3 -9 4 -16 6 -22 8 -26 10 -31 12 -33 13 -34 15 -34 15 -32 15 -29 13 -25 12 -20 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 14 -6 16 -9 16 -7 16 -7 16 -7 14 -7 12 -6 8 -7 5 -7 0 -8 -5 -8 -9 -9 -13 -10 -17 -11 -20 -12 -22 -14 -23 -14 -24 -15 -23 -14 -21 -12 -18 -10 -15 -6 -12 -1 -8 3 -5 9 -2 ]
CSI_DATA,STA,B0:A7:B9:09:53:8D,-61,11,1,6,0,1,1,1,1,0,0,-97,1,4,0,37820572,0,100,0,0,38.2125,384,[100 -64 5 0 0 25 1 20 0 13 -1 7 -3 0 -6 -7 -9 -13 -13 -18 -17 -23 -21 -26 -25 -29 -28 -29 -29 -29 -30 -27 -28 -25 -25 -21 -21 -18 -17 -13 -10 -9 -5 -5 2 -1 8 2 14 5 19 7 23 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -1 -6 -5 -1 -2 2 -9 10 -8 10 -8 15 -11 17 -8 17 -9 18 -11 19 -10 18 -10 16 -9 14 -7 11 -4 8 -1 4 3 2 7 -1 11 -4 17 -5 21 -5 26 -5 29 -5 32 -4 33 -3 33 ]
