type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,E4:D1:24:F1:02:C0,-84,10,0,0,0,0,0,0,0,0,0,-96,0,13,0,33573,0,389,0,0,0.42488,128,[-123 81 24 0 18 -32 17 -34 15 -36 19 -40 16 -36 9 -34 9 -35 4 -28 8 -28 7 -17 4 -11 7 -8 2 -2 1 6 4 6 7 10 -2 14 4 18 7 18 2 22 8 22 2 21 0 19 2 19 -14 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 2 15 9 10 7 8 7 4 7 5 6 1 1 -3 2 -5 3 -10 1 -17 -2 -16 2 -23 2 -27 2 -26 3 -30 4 -33 3 -31 8 -26 6 -26 9 -22 11 -18 -1 -13 3 0 -3 0 -6 9 -15 ]
CSI_DATA,STA,E4:D1:24:F1:02:C0,-84,10,0,0,0,0,0,0,0,0,0,-96,0,13,0,81398,0,30,0,0,0.472158,128,[30 -32 1 0 35 -9 38 1 40 -6 38 -12 34 -10 34 -13 31 -6 21 -8 17 -7 18 -11 7 -2 7 5 4 4 1 9 -3 12 -4 15 0 14 -5 20 -4 22 -6 16 -7 14 -7 19 -9 15 -9 8 -12 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 12 -8 12 -14 10 -8 7 -11 2 -10 0 -5 -7 -5 -4 -5 -7 -5 -16 1 -20 -4 -22 -2 -18 0 -22 -7 -24 -9 -32 -8 -27 -8 -28 -9 -21 -7 -18 -7 -14 -1 -13 4 -9 3 -10 16 -7 22 -6 ]
CSI_DATA,STA,E4:D1:24:F1:02:C0,-88,10,0,0,0,0,0,0,0,0,0,-96,0,13,0,238378,0,389,0,0,0.629171,128,[-123 81 24 0 24 22 31 23 29 19 29 17 22 16 15 4 14 6 10 10 3 0 0 4 -5 10 -8 7 -5 5 -9 8 -6 17 -10 11 -12 9 -16 9 -9 14 -12 10 -10 10 -11 9 -7 7 -14 4 -5 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -4 -5 -8 3 -9 -1 -4 4 -4 8 -7 11 -7 17 -8 11 -7 13 -10 15 -16 19 -10 14 -11 15 -19 17 -18 15 -16 11 -13 8 -11 7 -8 6 -6 5 0 6 -1 8 15 9 25 15 19 20 20 ]
CSI_DATA,STA,E4:D1:24:F2:4F:00,-78,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,501002,0,401,0,0,0.891803,128,[-111 17 25 0 -26 -15 -29 -20 -28 -19 -33 -23 -33 -20 -35 -17 -31 -15 -27 -12 -24 -9 -19 -7 -16 -3 -11 -3 -7 -6 0 -2 6 -7 10 -6 13 -10 16 -11 19 -14 16 -13 19 -15 16 -13 15 -13 17 -15 14 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -4 11 -1 13 -6 12 -5 14 -3 10 -3 11 -4 7 -3 8 0 3 2 2 5 -1 6 -4 11 -5 18 -5 18 -5 22 -9 23 -8 30 -5 30 -7 32 -7 30 -6 27 -5 22 -4 15 -8 11 -10 -1 ]
CSI_DATA,STA,E4:D1:24:F2:4F:00,-78,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,549810,0,34,0,0,0.94057,128,[34 32 2 0 16 14 19 19 23 19 25 23 29 24 27 20 29 21 30 17 25 14 24 8 20 8 13 5 6 3 2 5 -2 7 -7 6 -11 8 -12 7 -17 11 -19 11 -19 13 -18 14 -19 14 -17 11 -16 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -3 -16 -5 -15 -5 -17 -4 -18 -4 -16 -3 -15 -2 -11 -2 -11 -5 -6 -3 -4 -4 1 -6 1 -8 6 -13 8 -14 12 -18 19 -22 19 -23 16 -29 20 -31 15 -31 14 -32 14 -26 10 -21 13 -17 15 -10 ]
CSI_DATA,STA,E4:D1:24:F2:4F:00,-79,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,567688,0,389,0,0,0.975461,128,[-123 81 24 0 -15 -18 -15 -23 -17 -25 -22 -30 -18 -27 -25 -26 -21 -26 -21 -20 -18 -16 -19 -13 -17 -12 -11 -9 -6 -9 -2 -8 2 -9 4 -12 6 -11 10 -13 9 -15 12 -17 7 -19 9 -17 8 -18 6 -16 7 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 11 -2 13 -2 13 -2 14 -3 17 0 16 -3 15 0 15 -1 12 -3 9 -4 5 -8 4 -11 2 -13 -2 -18 -2 -20 -1 -25 -1 -31 2 -34 4 -32 7 -33 9 -31 6 -33 8 -29 3 -26 1 -20 -1 ]
CSI_DATA,STA,E4:D1:24:F2:4F:00,-81,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,642397,0,141,0,0,1.03294,128,[-115 -48 8 0 27 -8 32 -5 30 -11 31 -6 32 -12 29 -11 26 -13 19 -13 17 -9 13 -12 13 -7 9 -1 2 -1 -3 2 -1 5 -2 10 -2 14 2 18 0 21 -3 21 2 21 3 18 -1 16 -1 18 1 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 14 -8 13 -9 10 -18 11 -9 4 -7 9 -8 9 -8 6 -8 6 -5 1 -2 -4 -5 -4 -5 -8 -4 -11 -3 -17 -9 -21 -9 -27 -13 -32 -11 -27 -12 -24 -8 -29 -14 -25 -9 -19 -6 -17 6 -15 8 -17 ]
CSI_DATA,STA,E4:D1:24:F2:4F:00,-81,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,642832,0,141,0,0,1.06468,128,[-115 -48 8 0 28 -10 37 -12 42 -15 37 -8 33 -7 36 -14 27 -22 32 -13 25 -5 20 -15 9 -11 2 -4 5 -5 -6 1 -1 12 -4 13 0 18 -7 22 0 24 -7 23 2 18 -4 18 -3 22 -1 17 -2 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 17 -5 17 -2 17 -5 18 -4 20 -11 18 1 24 -8 4 1 4 -7 4 -12 4 -8 -7 -6 -4 -4 -16 -10 -19 -16 -26 -16 -26 -18 -25 -22 -24 -14 -21 -16 -33 -14 -27 -12 -31 -13 -16 -11 -17 11 -12 ]
CSI_DATA,STA,E4:D1:24:F2:4F:00,-78,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,772493,0,389,0,0,1.16367,128,[-123 81 24 0 -17 -19 -22 -23 -21 -26 -23 -28 -25 -26 -28 -23 -25 -22 -26 -17 -23 -15 -21 -9 -18 -11 -12 -7 -7 -8 -4 -9 3 -7 4 -9 8 -11 11 -12 10 -13 12 -15 10 -18 11 -17 10 -16 8 -14 8 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 10 7 12 5 14 8 12 7 11 7 12 6 10 4 9 5 10 1 8 -1 5 -5 6 -8 5 -12 6 -17 7 -23 11 -24 7 -25 14 -29 16 -31 18 -28 17 -28 19 -23 17 -24 15 -19 8 -15 2 ]
CSI_DATA,STA,E4:D1:24:F2:4F:00,-79,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,825202,0,368,0,0,1.2159,128,[112 1 23 0 -28 -9 -30 -5 -33 -11 -34 -13 -35 -9 -35 -5 -35 -3 -28 0 -25 0 -25 2 -19 1 -13 -1 -9 -4 -6 -6 -5 -11 -1 -14 0 -13 -2 -16 -4 -20 -3 -22 -1 -21 -3 -21 -5 -15 -3 -14 -3 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 10 10 9 10 10 14 10 14 9 10 9 10 6 8 6 10 3 10 -4 4 -3 8 -7 10 -13 8 -14 13 -22 16 -18 20 -22 24 -23 26 -20 24 -23 26 -16 28 -17 24 -17 21 -12 14 -16 10 ]
